,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
277,Cichlasoma ericymba,external,clutch tenders,NA,NA,n
278,Cichlasoma festae,external,nesters,NA,Max. 3000 eggs. ,n
279,Cichlasoma grammodes,external,clutch tenders,NA,Parents care for eggs and larvae. Larvae feed on the thickened skin of the parents. Pairs may stay together for a long time (Ref. 40602).,n
280,Cichlasoma istlanum,external,clutch tenders,NA,Produces about 500 eggs.,n
281,Cichlasoma orientale,external,clutch tenders,NA,NA,n
282,Cichlasoma orinocense,external,clutch tenders,NA,NA,n
283,Cichlasoma ornatum,external,nesters,NA,Oviparous (Ref. 205).,n
284,Cichlasoma paranaense,external,clutch tenders,NA,NA,n
285,Cichlasoma portalegrense,external,clutch tenders,NA,Produces up to 500 eggs (Ref. 1672). Some times females that have already reproduced develop into functional males (Ref. 40602).,n
286,Cichlasoma pusillum,external,nesters,NA,NA,n
287,Cichlasoma salvini,external,clutch tenders,NA,Produces about 500-600 eggs per spawning.,n
288,Cichlasoma sanctifranciscense,external,clutch tenders,NA,NA,n
289,Cichlasoma taenia,external,clutch tenders,NA,NA,n
290,Cichlasoma trimaculatum,external,clutch tenders,NA,"Large females can lay more than 1000 eggs. Females reach sexual maturity at 8-10 cm, males at 12-14 cm (Ref. 2060).",n
291,Cichlasoma urophthalmum,external,nesters,maternal,Max. 600 eggs. ,n
292,Cleithracara maronii,external,clutch tenders,NA,Spawns on hard substrate; produces up to 600 eggs; both parents guard eggs and larvae (Ref. 40602).,n
293,Congochromis dimidiatus,external,clutch tenders,NA,NA,n
294,Copadichromis atripinnis,NA,NA,NA,Builds bowers on a sand slope near rocky area at depth of 16-25 m. Bowers are circular or oval in shape with slight depression on the center and a surrounding sand mound. These contain a stone usually at the deeper margin of the sand mound. The depression is usually deepest near the stone and spawning takes place at this deepest part.,n
295,Copadichromis borleyi,in mouth,external brooders,NA,"Males defend spawning sites on large boulders and spawn along the vertical face of the boulder or construct a small bower of find sand on top of the boulder. Female mouth brooder, ca. 60 eggs (Ref. 2060).",y
296,Copadichromis chrysonotus,in mouth,external brooders,NA,Spawns in the water column and does not build bowers (Ref. 42940). Females carries fry in mouth.,y
297,Copadichromis geertsi,external,nesters,NA,"The spawning site or nest is normally constructed under and against a rock with a diameter of between 50 to 200 cm; the male excavates the sand from beneath the rock and heaps it up, building a semicircular wall around the spawning site; male spawning sites are usually at least 4 meters apart (Ref. 47113).",n
298,Copadichromis ilesi,external,nesters,NA,"The spawning site usually is constructed under and against a rock or small group of rocks; the male excavates the sand from beneath the rock and heaps it up, building a semicircular wall around the spawning site, sometimes leaving just a narrow opening to the nest (Ref. 47113). The spawning sites are usually about 2 meters apart (Ref. 47113).",n
299,Copadichromis mloto,in mouth,external brooders,NA,Males remain in breeding condition longer than females.      ,y
300,Copadichromis virginalis,in mouth,external brooders,NA,Annual breeding season is brief. Females brood young or show development of the buccal brood pouch.     ,y
301,Crenicara punctulatum,external,clutch tenders,NA,Attaches about 200 eggs to plants or stones; female tends the clutch. After a year the females turn into males. This corrects previous informations from Ref. 35887 and 13371.,n
302,Crenicichla acutirostris,external,nesters,NA,NA,n
303,Crenicichla adspersa,external,nesters,NA,NA,n
304,Crenicichla albopunctata,external,nesters,NA,NA,n
305,Crenicichla alta,external,nesters,NA,NA,n
306,Crenicichla anthurus,external,nesters,NA,NA,n
307,Crenicichla brasiliensis,external,nesters,NA,NA,n
308,Crenicichla britskii,external,nesters,NA,NA,n
309,Crenicichla cametana,external,nesters,NA,NA,n
310,Crenicichla celidochilus,external,nesters,NA,NA,n
311,Crenicichla cincta,external,nesters,NA,NA,n
312,Crenicichla compressiceps,external,nesters,NA,NA,n
313,Crenicichla coppenamensis,external,nesters,NA,NA,n
314,Crenicichla cyanonotus,external,nesters,NA,NA,n
315,Crenicichla cyclostoma,external,nesters,NA,NA,n
316,Crenicichla gaucho,external,nesters,NA,NA,n
317,Crenicichla geayi,external,nesters,NA,NA,n
318,Crenicichla heckeli,external,nesters,NA,NA,n
319,Crenicichla hemera,external,nesters,NA,NA,n
320,Crenicichla igara,external,nesters,NA,NA,n
321,Crenicichla jegui,external,nesters,NA,NA,n
322,Crenicichla johanna,external,nesters,biparental,NA,n
323,Crenicichla jupiaensis,external,nesters,NA,NA,n
324,Crenicichla jurubi,external,nesters,NA,NA,n
325,Crenicichla lacustris,external,nesters,NA,NA,n
326,Crenicichla lenticulata,external,nesters,NA,NA,n
327,Crenicichla lepidota,external,nesters,NA,"Females reach sexual maturity at 14 cm, males at 18 cm (Ref. 2060).",n
328,Crenicichla lucius,external,nesters,NA,NA,n
329,Crenicichla lugubris,external,nesters,NA,NA,n
330,Crenicichla macrophthalma,external,nesters,NA,NA,n
331,Crenicichla minuano,external,nesters,NA,NA,n
332,Crenicichla missioneira,external,nesters,NA,NA,n
333,Crenicichla mucuryna,external,nesters,NA,NA,n
334,Crenicichla multispinosa,external,nesters,NA,NA,n
335,Crenicichla nickeriensis,external,nesters,NA,NA,n
336,Crenicichla niederleinii,external,nesters,NA,NA,n
337,Crenicichla notophthalmus,external,clutch tenders,NA,"Eggs are deposited in caves; females tend the eggs, male defend the territory (Ref. 13371).",n
338,Crenicichla percna,external,nesters,NA,NA,n
339,Crenicichla phaiospilus,external,nesters,NA,NA,n
340,Crenicichla prenda,external,nesters,NA,NA,n
341,Crenicichla proteus,external,nesters,NA,NA,n
342,Crenicichla regani,external,nesters,NA,NA,n
343,Crenicichla reticulata,external,nesters,NA,NA,n
344,Crenicichla rosemariae,external,nesters,NA,NA,n
345,Crenicichla saxatilis,external,nesters,NA,NA,n
346,Crenicichla scottii,external,nesters,NA,NA,n
347,Crenicichla sedentaria,external,nesters,NA,NA,n
348,Crenicichla semicincta,external,nesters,NA,NA,n
349,Crenicichla semifasciata,external,nesters,NA,Sexual mature at 10-12 cm TL (Ref. 2060).,n
350,Crenicichla sipaliwini,external,nesters,NA,NA,n
351,Crenicichla strigata,external,clutch tenders,NA,"Deposit eggs in caves at the ceiling, sometimes at the walls; female tends the clutch, male defends the territory; later both parents look after the free-swimming young. This corrects previous information from Ref. 13371.",n
352,Crenicichla tendybaguassu,external,nesters,NA,NA,n
353,Crenicichla ternetzi,external,nesters,NA,NA,n
354,Crenicichla urosema,external,nesters,NA,NA,n
355,Crenicichla vittata,external,nesters,NA,NA,n
356,Crenicichla wallacii,external,nesters,NA,About 150 aggs (Ref. 2060).,n
357,Cryptoheros sajica,external,nesters,NA,"300 eggs, female tends the clutch.",n
358,Cryptoheros spilurus,external,clutch tenders,NA,Usually lays eggs in sand depressions. Produces 300-400 offspring per spawning.,n
359,Ctenochromis benthicola,external,external brooders,NA,Mouthbrooding by females.,y
360,Ctenochromis horei,external,external brooders,maternal,Larvae of up to 1.42 cm TL are mouthbrooded by female parents ranging from 8.4 to 9.6 cm SL (Ref. 86760).,y
361,Ctenochromis luluae,external,external brooders,NA,Mouthbrooding by females.,y
362,Ctenochromis oligacanthus,external,external brooders,NA,Mouthbrooding by females.,y
363,Ctenochromis pectoralis,NA,external brooders,NA,Mouthbrooder.,y
364,Ctenochromis polli,external,external brooders,NA,Mouthbrooding by females.,y
365,Ctenopharynx pictus,in mouth,external brooders,NA,NA,y
366,Cyathopharynx furcifer,in mouth,external brooders,maternal,Eggs from the cleavage phase and larvae of up to 1.69 cm TL are mouthbrooded by female parents ranging from 11.3 to 12.2 cm SL (Ref. 86760).,y
367,Cynotilapia afra,in mouth,external brooders,maternal,Sexual maturity is reached at 6-8 months. Female mouth brooder.,y
368,Cyphotilapia frontosa,in mouth,external brooders,maternal,"Females incubate eggs in buccal cavity. Early hatching embryos commence feeding on inhaled particles by the female when still in possession of large yolk (Ref. 7471).  In one study, larvae of up to 1.66 cm TL are mouthbrooded by a female parent 14.0 SL long (Ref. 86760).",y
369,Cyprichromis leptosoma,in mouth,external brooders,maternal,Eggs from the cleavage phase and larvae of up to 1.88 cm TL are mouthbrooded by female parents ranging from 6.8 to 7.6 cm SL (Ref. 86760).,y
370,Cyprichromis microlepidotus,in mouth,external brooders,NA,"Female mouth brooder, about 25 eggs.",y
371,Cyrtocara moorii,in mouth,external brooders,maternal,Female takes brood into her mouth and takes care of the young (Ref. 1672).,y
372,Dicrossus filamentosus,external,clutch tenders,NA,NA,n
373,Dimidiochromis compressiceps,in mouth,external brooders,NA,NA,y
374,Dimidiochromis kiwinge,external,NA,NA,Guards the young for about 4 days.      ,?
375,Dimidiochromis strigatus,external,clutch tenders,NA,NA,n
376,Diplotaxodon limnothrissa,NA,external brooders,NA,"Males in breeding dress were found throughout the year; ripe adults and mouthbrooding females were recorded at depths of 50-125m; largest fry found in the mouth of females were 3cm TL, but a maximum of only 1-2 such large fry were found per female; juveniles of 40-50mm were found in many locations (Ref. 55949).",y
377,Enigmatochromis lucanusi,external,NA,NA,"In aquaria, the species is a monogamous, pair bonding, cave spawner. Eggs are guarded by both sexes, but more intensively by the female. Hatching occurs after three days post-spawn.Larvae are normally deposited on the bottom of the cave, rarely in other caves nearby the original cave. Juveniles are free swimming 8 or 9 days post-hatching, and are guarded by both parents for about 5 to 6 weeks. Breeding and guarding individuals of both sexes regularly exhibit more aggressive and intensive coloration. The dark, longitudinal stripe that is typical for breeding and guarding specimens of both sexes inmany other cave breeders of the chromidotilapiine lineage (e.g., <i>Pelvicachromis</i>, <i>Congochromis</i>, and <i>Parananochromis</i>) is prominently visible in males, but is more rarely and weakly visible in females. In thischaracter, females of Enigmatochromis differ from females of <i>Pelvicachromis</i>, <i>Congochromis</i> and <i>Parananochromis</i>, where a prominent dark, longitudinal stripe is typical for females (and only rarely for males) during the first 2 to 4 weeks when guarding fry (Ref. 81928).",n
378,Eretmodus cyanostictus,external,external brooders,biparental,Eggs from the cleavage phase and larvae of up to 1.09 cm TL are mouthbrooded by male and female parents ranging from 4.7 to 6.2 cm SL (Ref. 86760).,y
379,Etroplus maculatus,external,nesters,biparental,"Spawns in shallow water, on a soft depression excavated by both parents. About 200 eggs are laid and hatch after 5 days, during which time the parents tend, and if necessary fan them. One parent always remains with the eggs while the other forages. Fry are guarded by parents until they almost reach sexual maturity.",n
380,Etroplus suratensis,external,clutch tenders,NA,"After spawning, about 500 eggs are laid and attached to a submerged log, rock or sometimes roots and weeds, in still or slow flowing water. Parents guard and fan the eggs until hatching, usually about 4 days. The fry shoal around their parents during the first weeks of growth. Parents refrain from feeding from the time of spawning until the fry become independent.",n
381,Fossorochromis rostratus,in mouth,external brooders,NA,"Female mouth brooder, gestation period: three weeks, about 50-100 young, (Ref. 2059).",y
382,Geophagus argyrostictus,external,clutch tenders,NA,This fish is a substrate spawner and is becoming well established in the aquarium trade (Ref. 12251).,n
383,Geophagus brachybranchus,external,external brooders,NA,Larvophile mouthbrooders.,y
384,Geophagus brasiliensis,external,clutch tenders,NA,NA,n
385,Geophagus pellegrini,external,external brooders,maternal,The females carry the brood in this mouthbrooding species. Males often spawn with many females at the same time if there is a surplus of them (Ref. 12251).,y
386,Geophagus proximus,external,external brooders,NA,Male and female are mouthbrooding.,y
387,Geophagus steindachneri,external,external brooders,NA,Very little is known of the breeding habits of this peaceful species (Ref. 12251).,y
388,Geophagus surinamensis,external,external brooders,NA,Parents form pairs. Larvophile mouthbrooder.,y
389,Geophagus taeniopareius,external,clutch tenders,NA,NA,n
390,Gnathochromis permaxillaris,external,external brooders,NA,Males and females are mouthbrooders.,y
391,Gnathochromis pfefferi,external,external brooders,biparental,Eggs from the cleavage phase and larvae of up to 0.89 cm TL are mouthbrooded by male and female parents ranging from 6.7 to 7.0 cm SL (Ref. 86760).,y
392,Grammatotria lemairii,external,external brooders,maternal,Larvae of up to 1.32 cm TL are mouthbrooded by female parents 16.5 cm SL long (Ref. 86760).,y
393,Guianacara geayi,external,clutch tenders,NA,Produces up to 500 eggs.,n
394,Gymnogeophagus australis,external,external brooders,NA,Larvophile mouth brooders. This corrects the previous information from Ref. 1672.,y
395,Gymnogeophagus balzanii,external,external brooders,NA,Larvophile mouth brooders. Female tends the clutch. This updates previous information from Ref. 1672.,y
396,Gymnogeophagus gymnogenys,external,external brooders,NA,Eggs are deposited on substrate and covered with sand; female protects clutch and takes larvae into the mouth after hatching; larvophile mouth brooder. This corrects previous information from Ref. 2060.,y
397,Gymnogeophagus labiatus,external,external brooders,NA,Larvophile mouth brooders.,y
398,Gymnogeophagus lacustris,external,external brooders,NA,Larvophile mouth brooders.,y
399,Gymnogeophagus meridionalis,external,clutch tenders,NA,Eggs are attached to hard substrates such as stones; both parents care for eggs and larvae (Ref. 42572). ,n
400,Gymnogeophagus rhabdotus,external,nesters,NA,The female lays about 300 eggs on a cleaned site. After hatching the young are moved to already built ground depressions.,n
401,Gymnogeophagus setequedas,external,clutch tenders,NA,Both parents take care of the fry.,n
402,Haplochromis acidens,NA,external brooders,NA,Mouthbrooders.,y
403,Haplochromis adolphifrederici,external,external brooders,NA,Mouthbrooding by females.,y
404,Haplochromis aelocephalus,NA,external brooders,NA,Mouthbrooder.,y
405,Haplochromis aeneocolor,external,external brooders,NA,Mouthbrooding by females.,y
406,Haplochromis albertianus,external,external brooders,NA,Mouthbrooding by females.,y
407,Haplochromis altigenis,external,external brooders,NA,Mouthbrooding by females.,y
408,Haplochromis ampullarostratus,in mouth,internal live bearers,NA,Mouthbrooders: Females carry eggs and larvae in the mouth.,y
409,Haplochromis angustifrons,external,external brooders,NA,Mouthbrooding by females.,y
410,Haplochromis annectidens,NA,external brooders,NA,Mouthbrooder.,y
411,Haplochromis antleter,NA,external brooders,maternal,Mouth brooding done by the female (Ref. 85523).,y
412,Haplochromis apogonoides,external,external brooders,NA,Mouthbrooding by females.,y
413,Haplochromis arcanus,NA,external brooders,NA,Mouthbrooder.,y
414,Haplochromis argens,NA,NA,NA,<i>Haplochromis argens</i> is a female mouth brooder (Ref. 92860).,y
415,Haplochromis argenteus,NA,external brooders,NA,Mouthbrooder.,y
416,Haplochromis artaxerxes,NA,external brooders,NA,Mouthbrooder.,y
417,Haplochromis astatodon,external,external brooders,NA,Mouthbrooding by females.,y
418,Haplochromis avium,external,external brooders,NA,Mouthbrooding by females.,y
419,Haplochromis azureus,NA,external brooders,NA,"A polygynous female mouth brooder, probably with maternal parental care.",y
420,Haplochromis barbarae,NA,external brooders,NA,Mouthbrooder.,y
421,Haplochromis bartoni,NA,external brooders,NA,Mouthbrooding by female.,y
422,Haplochromis bayoni,NA,external brooders,NA,Mouthbrooding by female.,y
423,Haplochromis beadlei,NA,external brooders,NA,Mouthbrooding by female.,y
424,Haplochromis bicolor,in mouth,external brooders,NA,A mouthbrooder.,y
425,Haplochromis boops,NA,external brooders,NA,Mouthbrooding by female.,y
426,Haplochromis brownae,NA,external brooders,NA,Mouthbrooding by female.,y
427,Haplochromis bullatus,external,external brooders,NA,Mouthbrooding by females.,y
428,Haplochromis bwathondii,NA,external brooders,maternal,Mouth brooding done by the female (Ref. 85523).,y
429,Haplochromis cassius,NA,external brooders,NA,Mouthbrooding by female.,y
430,Haplochromis cavifrons,NA,external brooders,NA,Mouthbrooding by female.,y
431,Haplochromis chilotes,NA,external brooders,NA,Mouthbrooding by female.,y
432,Haplochromis chlorochrous,external,external brooders,NA,Mouthbrooding by females.,y
433,Haplochromis chromogynos,NA,external brooders,NA,Mouthbrooding by female.,y
434,Haplochromis cinctus,external,external brooders,NA,Mouthbrooding by females.,y
435,Haplochromis cinereus,external,external brooders,NA,Mouthbrooding by females.,y
436,Haplochromis cnester,external,external brooders,NA,Mouthbrooding by females.,y
437,Haplochromis commutabilis,in mouth,internal live bearers,NA,Mouth brooders: female carries eggs and larvae in mouth.,y
438,Haplochromis coprologus,NA,external brooders,maternal,Mouth brooding done by the female. A seasonal spawner (Ref. 85523).,y
439,Haplochromis crassilabris,NA,external brooders,NA,Mouthbrooding by female.,y
440,Haplochromis crebridens,external,external brooders,NA,Mouthbrooding by females.,y
441,Haplochromis crocopeplus,external,external brooders,NA,Mouthbrooding by females.,y
442,Haplochromis cronus,external,external brooders,NA,Mouthbrooding by females.,y
443,Haplochromis cryptodon,external,external brooders,NA,Mouthbrooding by females.,y
444,Haplochromis cryptogramma,external,external brooders,NA,Mouthbrooding by females.,y
445,Haplochromis cyaneus,NA,external brooders,NA,"A polygynous female mouth brooder with maternal parental care. In the aquarium, females incubate eggs and larvae for about 15 days before they first release them and guards the fry for another 15 days.",y
446,Haplochromis decticostoma,NA,external brooders,NA,Mouthbrooding by female.,y
447,Haplochromis degeni,external,external brooders,NA,Mouthbrooding by female.,y
448,Haplochromis dentex,NA,external brooders,NA,Mouthbrooding by female.,y
449,Haplochromis dichrourus,external,external brooders,NA,Mouthbrooding by females.,y
450,Haplochromis diplotaenia,external,external brooders,NA,Mouthbrooding by females.,y
451,Haplochromis dolichorhynchus,external,external brooders,NA,Mouthbrooding by females.,y
452,Haplochromis dolorosus,external,external brooders,NA,Mouthbrooding by females.,y
453,Haplochromis eduardii,external,external brooders,NA,Mouthbrooding by females.,y
454,Haplochromis elegans,external,external brooders,NA,Mouthbrooding by females.,y
455,Haplochromis empodisma,external,external brooders,NA,Mouthbrooding by females.,y
456,Haplochromis engystoma,external,external brooders,NA,Mouthbrooding by females.,y
457,Haplochromis erythrocephalus,external,external brooders,NA,Mouthbrooding by females.,y
458,Haplochromis erythromaculatus,external,external brooders,NA,Mouthbrooding by females.,y
459,Haplochromis estor,NA,external brooders,NA,Mouthbrooding by female.,y
460,Haplochromis eutaenia,external,external brooders,NA,Mouthbrooding by females.,y
461,Haplochromis exspectatus,in mouth,internal live bearers,NA,Mouth brooders: female carries eggs and larvae in mouth.,y
462,Haplochromis flavipinnis,NA,external brooders,NA,Mouthbrooding by female.,y
463,Haplochromis fuscus,external,external brooders,NA,Mouthbrooding by females.,y
464,Haplochromis fusiformis,external,external brooders,NA,Mouthbrooding by females.,y
465,Haplochromis gigas,NA,external brooders,NA,"Mouth brooder with usually maternal parental care. Male defends territories. Brooding female guards fry in often not more than 0.5 m deep water, where it establishes small territories.",y
466,Haplochromis gigliolii,external,external brooders,NA,Mouthbrooding by females.,y
467,Haplochromis gilberti,NA,external brooders,NA,Mouthbrooding by female.,y
468,Haplochromis goldschmidti,NA,NA,NA,"Based on the egg dummies on the anal fin of males, <i>Haplochromis goldschmidti</i> is probably a female mouth brooder (Ref. 92860).",y
469,Haplochromis gowersii,NA,external brooders,NA,Mouthbrooding by female.,y
470,Haplochromis gracilior,external,external brooders,NA,Mouthbrooding by females.,y
471,Haplochromis granti,NA,external brooders,NA,Mouthbrooding by female.,y
472,Haplochromis graueri,external,external brooders,NA,Mouthbrooding by females.,y
473,Haplochromis greenwoodi,NA,external brooders,NA,Mouth brooder with maternal parental care. Male defends territories at depths between less than 1 and 4 m. Brooding female guards small territories around a cave between rock boulders.,y
474,Haplochromis guiarti,NA,external brooders,NA,Mouthbrooding by female.,y
475,Haplochromis heusinkveldi,external,external brooders,NA,Mouthbrooding by females.,y
476,Haplochromis hiatus,external,external brooders,NA,Mouthbrooding by females.,y
477,Haplochromis humilior,external,external brooders,NA,Mouthbrooding by females.,y
478,Haplochromis humilis,external,external brooders,NA,Mouthbrooding by females.,y
479,Haplochromis igneopinnis,NA,external brooders,NA,A polygynous female mouth-brooder with maternal parental care. Males occupy territories among big boulders at 3-4 m depth or deeper.,y
480,Haplochromis iris,external,external brooders,NA,Mouthbrooding by females.,y
481,Haplochromis ishmaeli,NA,external brooders,NA,Mouthbrooding by female.,y
482,Haplochromis kamiranzovu,external,external brooders,NA,Mouthbrooding by females.,y
483,Haplochromis katunzii,NA,external brooders,maternal,Mouth brooding done by the female (Ref. 85523).,y
484,Haplochromis labiatus,external,external brooders,NA,Mouthbrooding by females.,y
485,Haplochromis labriformis,external,external brooders,NA,Mouthbrooding by females.,y
486,Haplochromis lacrimosus,external,external brooders,NA,Mouthbrooding by females.,y
487,Haplochromis laparogramma,external,external brooders,NA,Mouthbrooding by females.,y
488,Haplochromis latifasciatus,NA,external brooders,NA,Mouthbrooding by female.,y
489,Haplochromis limax,external,external brooders,NA,Mouthbrooding by females.,y
490,Haplochromis lividus,NA,external brooders,NA,Mouthbrooding by female.,y
491,Haplochromis loati,external,external brooders,NA,Mouthbrooding by females.,y
492,Haplochromis longirostris,NA,external brooders,NA,Mouthbrooding by female.,y
493,Haplochromis luteus,NA,external brooders,NA,"A polygynous female mouth brooder with maternal parental care. Males seem to be territorial and sometimes chase other fishes. Brooding females have been observed in very shallow water under roots of floating reed. In the aquarium, females release their fry after about 21 days but continue to keep them in the mouth in situations of danger and at night, for up to another 17 days. Size at 50% maturity not precisely known, but above 12.3 cm SL at the Makobe Island (Lake Victoria, Tanzania).",y
494,Haplochromis macconneli,external,external brooders,NA,Mouthbrooding by females.,y
495,Haplochromis macrocephalus,NA,external brooders,NA,A polygynous female mouth-brooder with maternal parental care. Males are territorial.,y
496,Haplochromis macrognathus,NA,external brooders,NA,Mouthbrooding by female.,y
497,Haplochromis macrops,external,external brooders,NA,Mouthbrooding by females.,y
498,Haplochromis macropsoides,external,external brooders,NA,Mouthbrooding by females.,y
499,Haplochromis maculipinna,NA,external brooders,NA,Mouthbrooding by female.,y
500,Haplochromis mahagiensis,external,external brooders,NA,Mouthbrooding by females.,y
501,Haplochromis malacophagus,external,external brooders,NA,Mouthbrooding by females.,y
502,Haplochromis mandibularis,NA,external brooders,NA,Mouthbrooding by female.,y
503,Haplochromis martini,NA,external brooders,NA,Mouthbrooding by female.,y
504,Haplochromis maxillaris,NA,external brooders,NA,Mouthbrooding by female.,y
505,Haplochromis mbipi,NA,external brooders,NA,"A polygynous female mouthbrooder with maternal parental care. Males defend territories of usually less than a square meter surface around a larger crevice. During courtship and male-male interactions they leave the crevice, but usually do not  move far away from it. Females are led to the crevice, where the spawning takes place. Males are vigorously defending the territories against conspecific males. Brooding females guard small territories around a small cave at variable water depths. In the aquarium, females release their fry after about 21 days but continue to keep them in the mouth in situations of danger and at night, for up to another 21 days.",y
506,Haplochromis megalops,NA,external brooders,NA,Mouthbrooding by female.,y
507,Haplochromis melanopterus,NA,external brooders,NA,Mouthbrooding by female.,y
508,Haplochromis melanopus,external,external brooders,NA,Mouthbrooding by females.,y
509,Haplochromis melichrous,external,external brooders,NA,Mouthbrooding by females.,y
510,Haplochromis mentatus,external,external brooders,NA,Mouthbrooding by females.,y
511,Haplochromis mento,NA,external brooders,NA,Mouthbrooder.,y
512,Haplochromis michaeli,NA,external brooders,NA,Mouthbrooder.,y
513,Haplochromis microdon,NA,external brooders,NA,Mouthbrooder.,y
514,Haplochromis multiocellatus,external,external brooders,NA,Mouthbrooding by females.,y
515,Haplochromis mylergates,NA,external brooders,NA,Mouthbrooder.,y
516,Haplochromis mylodon,external,external brooders,NA,Mouthbrooding by females.,y
517,Haplochromis nanoserranus,NA,external brooders,NA,Mouthbrooder.,y
518,Haplochromis nigrescens,NA,external brooders,NA,Mouthbrooder.,y
519,Haplochromis nigricans,external,external brooders,NA,Mouthbrooding by females.,y
520,Haplochromis nigripinnis,external,external brooders,NA,Mouthbrooding by females.,y
521,Haplochromis nigroides,external,external brooders,NA,Mouthbrooding by females.,y
522,Haplochromis niloticus,NA,external brooders,NA,Mouthbrooder.,y
523,Haplochromis nubilus,external,external brooders,NA,Mouthbrooding by females.,y
524,Haplochromis nuchisquamulatus,NA,external brooders,NA,Mouthbrooder.,y
525,Haplochromis nyanzae,NA,external brooders,NA,Mouthbrooder.,y
526,Haplochromis nyererei,external,external brooders,NA,Mouthbrooding by females.,y
527,Haplochromis obesus,external,external brooders,NA,Mouthbrooding by females.,y
528,Haplochromis obliquidens,NA,external brooders,NA,Mouthbrooder.,y
529,Haplochromis obtusidens,NA,external brooders,NA,Mouthbrooder.,y
530,Haplochromis occultidens,external,external brooders,NA,Mouthbrooding by females.,y
531,Haplochromis olivaceus,external,external brooders,NA,Mouthbrooding by females.,y
532,Haplochromis omnicaeruleus,NA,external brooders,NA,"Mouth brooder with maternal parental care. Male defends territories throughout the depth range down to 6 m, but territorial densities are higher at 2-4 m depth. Brooding female also defends small territories around a cave between rock boulders at various water depths.",y
533,Haplochromis oregosoma,external,external brooders,NA,Mouthbrooding by females.,y
534,Haplochromis orthostoma,NA,external brooders,NA,Mouthbrooder.,y
535,Haplochromis pachycephalus,NA,external brooders,NA,Mouthbrooder.,y
536,Haplochromis pallidus,external,external brooders,NA,Mouthbrooding by females.,y
537,Haplochromis paludinosus,external,external brooders,NA,Mouthbrooding by females.,y
538,Haplochromis pancitrinus,NA,external brooders,maternal,Mouth brooding done by the female (Ref. 85523).,y
539,Haplochromis pappenheimi,external,external brooders,NA,Mouthbrooding by females.,y
540,Haplochromis paraguiarti,NA,external brooders,NA,Mouthbrooder.,y
541,Haplochromis paraplagiostoma,NA,external brooders,NA,Mouthbrooder.,y
542,Haplochromis paropius,NA,external brooders,NA,Mouthbrooder.,y
543,Haplochromis parorthostoma,NA,external brooders,NA,Mouthbrooder.,y
544,Haplochromis parvidens,external,external brooders,NA,Mouthbrooding by females.,y
545,Haplochromis paucidens,external,external brooders,NA,Mouthbrooding by females.,y
546,Haplochromis pellegrini,NA,external brooders,NA,Mouthbrooder.,y
547,Haplochromis percoides,NA,external brooders,NA,Mouthbrooder.,y
548,Haplochromis perrieri,NA,external brooders,NA,Mouthbrooder.,y
549,Haplochromis petronius,external,external brooders,NA,Mouthbrooding by females.,y
550,Haplochromis pharyngalis,external,external brooders,NA,Mouthbrooding by females.,y
551,Haplochromis pharyngomylus,NA,external brooders,NA,Mouthbrooder.,y
552,Haplochromis phytophagus,NA,external brooders,NA,Mouthbrooder.,y
553,Haplochromis piceatus,NA,external brooders,NA,Mouthbrooder.,y
554,Haplochromis pitmani,external,external brooders,NA,Mouthbrooding by females.,y
555,Haplochromis placodus,external,external brooders,NA,Mouthbrooding by females.,y
556,Haplochromis plagiodon,external,external brooders,NA,Mouthbrooding by females.,y
557,Haplochromis plagiostoma,NA,external brooders,NA,Mouthbrooder.,y
558,Haplochromis plutonius,external,external brooders,NA,Mouthbrooding by females.,y
559,Haplochromis prodromus,external,external brooders,NA,Mouthbrooding by females.,y
560,Haplochromis prognathus,NA,external brooders,NA,Mouthbrooder.,y
561,Haplochromis pseudopellegrini,NA,external brooders,NA,Mouthbrooder.,y
562,Haplochromis ptistes,external,external brooders,NA,Mouthbrooding by females.,y
563,Haplochromis pundamilia,NA,external brooders,NA,A polygynous female mouth brooder with maternal parental care.,y
564,Haplochromis pyrrhocephalus,NA,external brooders,NA,Mouthbrooder.,y
565,Haplochromis retrodens,external,external brooders,NA,Females are mouthbrooders.,y
566,Haplochromis riponianus,external,external brooders,NA,Mouthbrooding by females.,y
567,Haplochromis rubripinnis,NA,external brooders,NA,"A polygynous female mouth brooder with maternal parental care. At Python Islands in Lake Victoria, Tanzania, large, sexually active males are found most commonly from 3-5 m depth, suggesting that spawning takes place at those intermediate depths.",y
568,Haplochromis rudolfianus,external,external brooders,NA,Mouthbrooding by females.,y
569,Haplochromis rufocaudalis,NA,external brooders,NA,Mouth brooder with maternal parental care. Males defend spawning territories against conspecific and other <i>Neochromis</i> males. Brooding females occur among rock boulders in very shallow water.,y
570,Haplochromis rufus,NA,external brooders,NA,"A polygynous female mouthbrooder, probably with maternal care.",y
571,Haplochromis sauvagei,NA,external brooders,NA,Mouthbrooder.,y
572,Haplochromis saxicola,external,external brooders,NA,Mouthbrooding by females.,y
573,Haplochromis scheffersi,external,external brooders,NA,Mouthbrooding by females.,y
574,Haplochromis schubotzi,external,external brooders,NA,Mouthbrooding by females.,y
575,Haplochromis schubotziellus,external,external brooders,NA,Mouthbrooding by females.,y
576,Haplochromis serranus,external,external brooders,NA,Mouthbrooding by females.,y
